Zip Code,Demographic,Percent,Year,BOROUGH
10001,Male,50.6,2017,MANHATTAN
10001,Female,49.4,2017,MANHATTAN
10001,White,64.3,2017,MANHATTAN
10001,Black,11.4,2017,MANHATTAN
10001,Asian,22.8,2017,MANHATTAN
10001,Hispanic,14.4,2017,MANHATTAN
10001,Male,50.9,2018,MANHATTAN
10001,Female,49.1,2018,MANHATTAN
10001,White,65.2,2018,MANHATTAN
10001,Black,7.4,2018,MANHATTAN
10001,Asian,26.4,2018,MANHATTAN
10001,Hispanic,14.2,2018,MANHATTAN
10001,Male,50.5,2019,MANHATTAN
10001,Female,49.5,2019,MANHATTAN
10001,White,67.7,2019,MANHATTAN
10001,Black,8.3,2019,MANHATTAN
10001,Asian,23.1,2019,MANHATTAN
10001,Hispanic,15.5,2019,MANHATTAN
10002,Male,48.7,2017,MANHATTAN
10002,Female,51.3,2017,MANHATTAN
10002,White,34.2,2017,MANHATTAN
10002,Black,8.9,2017,MANHATTAN
10002,Asian,44.7,2017,MANHATTAN
10002,Hispanic,27.4,2017,MANHATTAN
10002,Male,48.3,2018,MANHATTAN
10002,Female,51.7,2018,MANHATTAN
10002,White,35.6,2018,MANHATTAN
10002,Black,10.2,2018,MANHATTAN
10002,Asian,42.9,2018,MANHATTAN
10002,Hispanic,27.2,2018,MANHATTAN
10002,Male,47.0,2019,MANHATTAN
10002,Female,53.0,2019,MANHATTAN
10002,White,35.8,2019,MANHATTAN
10002,Black,11.0,2019,MANHATTAN
10002,Asian,43.3,2019,MANHATTAN
10002,Hispanic,26.3,2019,MANHATTAN
10003,Male,49.3,2017,MANHATTAN
10003,Female,50.7,2017,MANHATTAN
10003,White,80.0,2017,MANHATTAN
10003,Black,4.7,2017,MANHATTAN
10003,Asian,14.3,2017,MANHATTAN
10003,Hispanic,7.9,2017,MANHATTAN
10003,Male,50.3,2018,MANHATTAN
10003,Female,49.7,2018,MANHATTAN
10003,White,77.9,2018,MANHATTAN
10003,Black,6.4,2018,MANHATTAN
10003,Asian,14.9,2018,MANHATTAN
10003,Hispanic,8.2,2018,MANHATTAN
10003,Male,50.0,2019,MANHATTAN
10003,Female,50.0,2019,MANHATTAN
10003,White,77.3,2019,MANHATTAN
10003,Black,6.1,2019,MANHATTAN
10003,Asian,15.7,2019,MANHATTAN
10003,Hispanic,8.4,2019,MANHATTAN
10004,Male,44.9,2017,MANHATTAN
10004,Female,55.1,2017,MANHATTAN
10004,White,71.0,2017,MANHATTAN
10004,Black,2.0,2017,MANHATTAN
10004,Asian,27.6,2017,MANHATTAN
10004,Hispanic,7.4,2017,MANHATTAN
10004,Male,41.8,2018,MANHATTAN
10004,Female,58.2,2018,MANHATTAN
10004,White,66.0,2018,MANHATTAN
10004,Black,2.2,2018,MANHATTAN
10004,Asian,32.9,2018,MANHATTAN
10004,Hispanic,3.7,2018,MANHATTAN
10004,Male,42.9,2019,MANHATTAN
10004,Female,57.1,2019,MANHATTAN
10004,White,64.4,2019,MANHATTAN
10004,Black,4.8,2019,MANHATTAN
10004,Asian,32.7,2019,MANHATTAN
10004,Hispanic,3.2,2019,MANHATTAN
10005,Male,46.1,2017,MANHATTAN
10005,Female,53.9,2017,MANHATTAN
10005,White,77.5,2017,MANHATTAN
10005,Black,4.0,2017,MANHATTAN
10005,Asian,18.8,2017,MANHATTAN
10005,Hispanic,6.1,2017,MANHATTAN
10005,Male,45.3,2018,MANHATTAN
10005,Female,54.7,2018,MANHATTAN
10005,White,76.8,2018,MANHATTAN
10005,Black,3.7,2018,MANHATTAN
10005,Asian,20.6,2018,MANHATTAN
10005,Hispanic,6.9,2018,MANHATTAN
10005,Male,47.2,2019,MANHATTAN
10005,Female,52.8,2019,MANHATTAN
10005,White,78.4,2019,MANHATTAN
10005,Black,1.3,2019,MANHATTAN
10005,Asian,21.2,2019,MANHATTAN
10005,Hispanic,6.3,2019,MANHATTAN
10006,Male,44.3,2017,MANHATTAN
10006,Female,55.7,2017,MANHATTAN
10006,White,74.0,2017,MANHATTAN
10006,Black,5.2,2017,MANHATTAN
10006,Asian,23.1,2017,MANHATTAN
10006,Hispanic,12.3,2017,MANHATTAN
10006,Male,47.3,2018,MANHATTAN
10006,Female,52.7,2018,MANHATTAN
10006,White,75.2,2018,MANHATTAN
10006,Black,2.1,2018,MANHATTAN
10006,Asian,23.2,2018,MANHATTAN
10006,Hispanic,12.0,2018,MANHATTAN
10006,Male,47.4,2019,MANHATTAN
10006,Female,52.6,2019,MANHATTAN
10006,White,78.4,2019,MANHATTAN
10006,Black,3.2,2019,MANHATTAN
10006,Asian,19.8,2019,MANHATTAN
10006,Hispanic,10.8,2019,MANHATTAN
10007,Male,58.6,2017,MANHATTAN
10007,Female,41.4,2017,MANHATTAN
10007,White,78.3,2017,MANHATTAN
10007,Black,6.8,2017,MANHATTAN
10007,Asian,18.4,2017,MANHATTAN
10007,Hispanic,8.9,2017,MANHATTAN
10007,Male,58.6,2018,MANHATTAN
10007,Female,41.4,2018,MANHATTAN
10007,White,81.2,2018,MANHATTAN
10007,Black,5.5,2018,MANHATTAN
10007,Asian,15.1,2018,MANHATTAN
10007,Hispanic,8.3,2018,MANHATTAN
10007,Male,55.9,2019,MANHATTAN
10007,Female,44.1,2019,MANHATTAN
10007,White,79.3,2019,MANHATTAN
10007,Black,8.8,2019,MANHATTAN
10007,Asian,12.0,2019,MANHATTAN
10007,Hispanic,11.7,2019,MANHATTAN
10009,Male,45.5,2017,MANHATTAN
10009,Female,54.5,2017,MANHATTAN
10009,White,63.7,2017,MANHATTAN
10009,Black,10.4,2017,MANHATTAN
10009,Asian,14.6,2017,MANHATTAN
10009,Hispanic,25.8,2017,MANHATTAN
10009,Male,45.8,2018,MANHATTAN
10009,Female,54.2,2018,MANHATTAN
10009,White,65.1,2018,MANHATTAN
10009,Black,11.3,2018,MANHATTAN
10009,Asian,14.5,2018,MANHATTAN
10009,Hispanic,24.8,2018,MANHATTAN
10009,Male,46.8,2019,MANHATTAN
10009,Female,53.2,2019,MANHATTAN
10009,White,65.1,2019,MANHATTAN
10009,Black,10.7,2019,MANHATTAN
10009,Asian,15.9,2019,MANHATTAN
10009,Hispanic,23.8,2019,MANHATTAN
10010,Male,51.2,2017,MANHATTAN
10010,Female,48.8,2017,MANHATTAN
10010,White,76.9,2017,MANHATTAN
10010,Black,7.8,2017,MANHATTAN
10010,Asian,16.3,2017,MANHATTAN
10010,Hispanic,12.8,2017,MANHATTAN
10010,Male,51.5,2018,MANHATTAN
10010,Female,48.5,2018,MANHATTAN
10010,White,75.0,2018,MANHATTAN
10010,Black,6.2,2018,MANHATTAN
10010,Asian,18.6,2018,MANHATTAN
10010,Hispanic,11.0,2018,MANHATTAN
10010,Male,51.6,2019,MANHATTAN
10010,Female,48.4,2019,MANHATTAN
10010,White,71.7,2019,MANHATTAN
10010,Black,10.5,2019,MANHATTAN
10010,Asian,18.2,2019,MANHATTAN
10010,Hispanic,10.6,2019,MANHATTAN
10011,Male,51.2,2017,MANHATTAN
10011,Female,48.8,2017,MANHATTAN
10011,White,81.0,2017,MANHATTAN
10011,Black,6.6,2017,MANHATTAN
10011,Asian,12.0,2017,MANHATTAN
10011,Hispanic,11.1,2017,MANHATTAN
10011,Male,51.6,2018,MANHATTAN
10011,Female,48.4,2018,MANHATTAN
10011,White,83.0,2018,MANHATTAN
10011,Black,7.1,2018,MANHATTAN
10011,Asian,11.0,2018,MANHATTAN
10011,Hispanic,11.3,2018,MANHATTAN
10011,Male,51.2,2019,MANHATTAN
10011,Female,48.8,2019,MANHATTAN
10011,White,83.4,2019,MANHATTAN
10011,Black,5.7,2019,MANHATTAN
10011,Asian,10.6,2019,MANHATTAN
10011,Hispanic,11.9,2019,MANHATTAN
10012,Male,50.4,2017,MANHATTAN
10012,Female,49.6,2017,MANHATTAN
10012,White,78.1,2017,MANHATTAN
10012,Black,4.8,2017,MANHATTAN
10012,Asian,19.8,2017,MANHATTAN
10012,Hispanic,6.6,2017,MANHATTAN
10012,Male,49.5,2018,MANHATTAN
10012,Female,50.5,2018,MANHATTAN
10012,White,78.5,2018,MANHATTAN
10012,Black,4.2,2018,MANHATTAN
10012,Asian,20.3,2018,MANHATTAN
