BOROUGH,Zip Code,MonthYear,Evictions
BRONX,10451,2017-01,26
BRONX,10451,2017-02,20
BRONX,10451,2017-03,25
BRONX,10451,2017-04,24
BRONX,10451,2017-05,23
BRONX,10451,2017-06,26
BRONX,10451,2017-07,24
BRONX,10451,2017-08,29
BRONX,10451,2017-09,22
BRONX,10451,2017-10,20
BRONX,10451,2017-11,15
BRONX,10451,2017-12,14
BRONX,10451,2018-01,30
BRONX,10451,2018-02,19
BRONX,10451,2018-03,31
BRONX,10451,2018-04,20
BRONX,10451,2018-05,32
BRONX,10451,2018-06,30
BRONX,10451,2018-07,32
BRONX,10451,2018-08,26
BRONX,10451,2018-09,18
BRONX,10451,2018-10,25
BRONX,10451,2018-11,25
BRONX,10451,2018-12,22
BRONX,10451,2019-01,26
BRONX,10451,2019-02,28
BRONX,10451,2019-03,18
BRONX,10451,2019-04,20
BRONX,10451,2019-05,27
BRONX,10451,2019-06,28
BRONX,10451,2019-07,15
BRONX,10451,2019-08,24
BRONX,10451,2019-09,16
BRONX,10451,2019-10,17
BRONX,10451,2019-11,25
BRONX,10451,2019-12,10
BRONX,10452,2017-01,41
BRONX,10452,2017-02,30
BRONX,10452,2017-03,39
BRONX,10452,2017-04,27
BRONX,10452,2017-05,46
BRONX,10452,2017-06,39
BRONX,10452,2017-07,33
BRONX,10452,2017-08,38
BRONX,10452,2017-09,37
BRONX,10452,2017-10,31
BRONX,10452,2017-11,33
BRONX,10452,2017-12,40
BRONX,10452,2018-01,49
BRONX,10452,2018-02,29
BRONX,10452,2018-03,17
BRONX,10452,2018-04,34
BRONX,10452,2018-05,40
BRONX,10452,2018-06,41
BRONX,10452,2018-07,34
BRONX,10452,2018-08,33
BRONX,10452,2018-09,23
BRONX,10452,2018-10,22
BRONX,10452,2018-11,25
BRONX,10452,2018-12,24
BRONX,10452,2019-01,49
BRONX,10452,2019-02,33
BRONX,10452,2019-03,33
BRONX,10452,2019-04,32
BRONX,10452,2019-05,34
BRONX,10452,2019-06,29
BRONX,10452,2019-07,27
BRONX,10452,2019-08,39
BRONX,10452,2019-09,24
BRONX,10452,2019-10,16
BRONX,10452,2019-11,19
BRONX,10452,2019-12,19
BRONX,10453,2017-01,47
BRONX,10453,2017-02,37
BRONX,10453,2017-03,48
BRONX,10453,2017-04,33
BRONX,10453,2017-05,56
BRONX,10453,2017-06,40
BRONX,10453,2017-07,34
BRONX,10453,2017-08,56
BRONX,10453,2017-09,62
BRONX,10453,2017-10,67
BRONX,10453,2017-11,61
BRONX,10453,2017-12,38
BRONX,10453,2018-01,64
BRONX,10453,2018-02,38
BRONX,10453,2018-03,42
BRONX,10453,2018-04,28
BRONX,10453,2018-05,53
BRONX,10453,2018-06,49
BRONX,10453,2018-07,38
BRONX,10453,2018-08,48
BRONX,10453,2018-09,29
BRONX,10453,2018-10,45
BRONX,10453,2018-11,36
BRONX,10453,2018-12,24
BRONX,10453,2019-01,51
BRONX,10453,2019-02,29
BRONX,10453,2019-03,44
BRONX,10453,2019-04,36
BRONX,10453,2019-05,59
BRONX,10453,2019-06,33
BRONX,10453,2019-07,48
BRONX,10453,2019-08,35
BRONX,10453,2019-09,41
BRONX,10453,2019-10,20
BRONX,10453,2019-11,30
BRONX,10453,2019-12,29
BRONX,10454,2017-01,9
BRONX,10454,2017-02,5
BRONX,10454,2017-03,14
BRONX,10454,2017-04,19
BRONX,10454,2017-05,18
BRONX,10454,2017-06,15
BRONX,10454,2017-07,14
BRONX,10454,2017-08,8
BRONX,10454,2017-09,7
BRONX,10454,2017-10,11
BRONX,10454,2017-11,9
BRONX,10454,2017-12,13
BRONX,10454,2018-01,16
BRONX,10454,2018-02,14
BRONX,10454,2018-03,14
BRONX,10454,2018-04,12
BRONX,10454,2018-05,10
BRONX,10454,2018-06,13
BRONX,10454,2018-07,11
BRONX,10454,2018-08,20
BRONX,10454,2018-09,14
BRONX,10454,2018-10,11
BRONX,10454,2018-11,7
BRONX,10454,2018-12,8
BRONX,10454,2019-01,11
BRONX,10454,2019-02,13
BRONX,10454,2019-03,8
BRONX,10454,2019-04,6
BRONX,10454,2019-05,10
BRONX,10454,2019-06,6
BRONX,10454,2019-07,12
BRONX,10454,2019-08,10
BRONX,10454,2019-09,7
BRONX,10454,2019-10,10
BRONX,10454,2019-11,13
BRONX,10454,2019-12,9
BRONX,10455,2017-01,21
BRONX,10455,2017-02,21
BRONX,10455,2017-03,21
BRONX,10455,2017-04,21
BRONX,10455,2017-05,16
BRONX,10455,2017-06,16
BRONX,10455,2017-07,11
BRONX,10455,2017-08,19
BRONX,10455,2017-09,18
BRONX,10455,2017-10,19
BRONX,10455,2017-11,22
BRONX,10455,2017-12,15
BRONX,10455,2018-01,24
BRONX,10455,2018-02,15
BRONX,10455,2018-03,20
BRONX,10455,2018-04,15
BRONX,10455,2018-05,21
BRONX,10455,2018-06,13
BRONX,10455,2018-07,19
BRONX,10455,2018-08,18
BRONX,10455,2018-09,8
BRONX,10455,2018-10,13
BRONX,10455,2018-11,16
BRONX,10455,2018-12,10
BRONX,10455,2019-01,16
BRONX,10455,2019-02,16
BRONX,10455,2019-03,20
BRONX,10455,2019-04,16
BRONX,10455,2019-05,18
BRONX,10455,2019-06,8
BRONX,10455,2019-07,24
BRONX,10455,2019-08,17
BRONX,10455,2019-09,9
BRONX,10455,2019-10,15
BRONX,10455,2019-11,9
BRONX,10455,2019-12,7
BRONX,10456,2017-01,84
BRONX,10456,2017-02,35
BRONX,10456,2017-03,29
BRONX,10456,2017-04,27
BRONX,10456,2017-05,41
BRONX,10456,2017-06,46
BRONX,10456,2017-07,37
BRONX,10456,2017-08,43
BRONX,10456,2017-09,39
BRONX,10456,2017-10,53
BRONX,10456,2017-11,50
BRONX,10456,2017-12,52
BRONX,10456,2018-01,56
BRONX,10456,2018-02,59
